id,model,description
0bd74a9a-5b5f-48bb-a20d-db6e9595e77b,A6,description for A6
0c1555ec-1a5e-48a3-9fb0-ba72077c42d9,S5,description for S5
0ee4c4a3-4b4e-4d6f-a0a4-42c9e41ec42d,S4,description for S4
163dfa00-e20c-43ad-b0a5-5efe2dfb544a,S2,description for S2
1a20edaa-2b34-4cfc-b6b3-2039ef957cc5,A1,description for A1
2fd27ecb-3dce-4981-bc5a-9f6d7b6c9b01,Q2,description for Q2
432ad57d-a763-4710-b517-3a7465457c18,A7,description for A7
5387b31f-b34c-49db-8f85-896da1f05b93,other,description for other
5edc39d1-8a81-4804-a3e7-f28c738ec599,A2,description for A2
7287fcad-63d5-4ead-a9fe-6731c3a6080a,Rs3,description for Rs3
78fa7b06-3cea-465a-9c9d-69ae079dee20,Rs4,description for Rs4
84daa71c-2d94-4650-8aa7-6fe1d09586c2,Rs5,description for Rs5
8b03ee30-7618-453d-a583-f65e135ef322,Rs7,description for Rs7
94fb191c-6dda-4f21-a6c2-1dbd3ddaf1e9,A5,description for A5
9690bf48-172b-4d38-96f8-8cc7612e4b94,S7,description for S7
96c9e5b9-8ea3-4cd3-8a0d-3f78300acd8e,Rs6,description for Rs6
9ffabc8d-3557-4aba-bdec-8690384982a1,Q4,description for Q4
a0425db7-faf5-4105-a8d9-bc126d60d1f0,S6,description for S6
a4dbe2b6-ba0b-4979-8c08-310ca67848aa,Q8,description for Q8
a884a6b2-1386-4b04-9aaf-86fa3ccf6c1d,Q5,description for Q5
b87000b3-1553-407d-9f99-504e557838b4,A8,description for A8
b8f70495-c090-45cf-8ab0-952e8fd82060,S3,description for S3
c6edcb21-19d2-46a9-b4a1-5fce835c9c84,Q7,description for Q7
d6f3517a-b19c-4d88-b0bf-7c016c7cd697,S8,description for S8
dbf641f7-2b44-4c2e-8192-a0c26ddba2a8,Q3,description for Q3
edf3fe14-95e8-4099-9c5e-8ba4754534dd,S1,description for S1
f178dd23-66ce-4f96-9709-606b2e2f99e0,A3,description for A3
fe47d1bb-c961-4e50-912d-840925a2f41b,A4,description for A4
