id,model,description
04693ee8-e389-4845-bd13-519994996ae4,CLS,Description for CLS
05bfb3d2-80c5-4267-99d9-5366357ca018,GLB,Description for GLB
1d1757e5-f41c-43e2-9931-eff57e2b9d75,GLE,Description for GLE
2d2aa9df-c4b7-4f20-8b7a-c42da224502e,C_class,Description for C_class
3065808b-5d0f-4f9d-b3ef-fced88b8a804,GLS,Description for GLS
33ff05c4-bf68-4285-95c5-6f9ed2a58505,CLC,Description for CLC
395a0995-ffce-4466-b26b-857e2106f5f0,CLK,Description for CLK
3caa8146-2ff8-4b24-a158-13e8691c1817,CLE,Description for CLE
4a304b46-50c7-43b2-86b5-ac7c4deb7637,B_class,Description for B_class
627cbfcf-6e5b-4b09-b57b-1128a5793bc4,SLK,Description for SLK
6815a95a-8076-497e-a633-60ffb519ce08,E_class,Description for E_class
7e5df260-1969-4552-bd3b-a863cbb0eb2e,G_class,Description for G_class
8661162e-65ef-4a33-a9ff-ee12b3dc5564,GLC,Description for GLC
96f990e6-3590-45d9-8698-a172946a1418,GLA,Description for GLA
9f1b918c-1db8-4b91-8293-8859d550f781,EQB,Description for EQB
9f91c90b-e278-457e-aed6-41d35089a64d,SLS,Description for SLS
a7caddaf-6fd2-4139-9f6d-738be83d8ff6,GLK,Description for GLK
a8edd0da-2039-4ca0-8a37-aaff7b44a906,CLA,Description for CLA
aa2a0ab8-26be-4b4c-b64b-cea6b22eaf13,EQS,Description for EQS
af21c84c-4723-4729-ab67-3898bbf1cea6,A_class,Description for A_class
b950ddb1-c638-429d-849b-268fcbee54e0,SLR,Description for SLR
ba904662-a203-4789-8501-8826546b8c78,S_class,Description for S_class
bf7d1037-aed7-44fb-9ef3-bab2441ec725,EQE,Description for EQE
caf2d1f3-ce54-4788-a785-78b624e84bad,Maybach,Description for Maybach
d0ccb3ff-d305-47dd-bd79-b2ca1f682e90,CL,Description for CL
d2738a7c-4151-47fe-a857-c49e165eb28e,R,Description for R
d7cd356f-3b7c-4467-a765-0443623062e7,SL,Description for SL
daf764e6-7d7a-45bc-8d8a-98fc35417214,other,Description for other
e2c5588a-edb9-40fa-9598-50145988166d,EQA,Description for EQA
e630716d-a8ee-4cdd-abf5-1928f5072c29,EQC,Description for EQC
f3a9c253-3f5e-4bbd-97e6-c236af95b2d7,ML,Description for ML
